net,length_um
net863,328.35
net1000,327.67
net380,326.94
net723,326.64
net754,326.51
decoded_imm\[20\],326.38
net573,325.46
net12,325.36
net933,325.24
net663,324.65
net665,324.59
net440,323.98
net981,322.74
clknet_5_4__leaf_clk,320.86
net374,320.85
net182,320.68
net697,319.82
net713,319.53
net113,318.66
_05535_,318.64
net773,317.55
net404,316.71
_01647_,316.44
net924,316.165
net669,314.82
decoded_imm\[5\],314.02
net994,313.4
net800,313.13
net782,312.78
_02761_,312.74
net221,312.43
_05527_,312.33
_00008_,311.49
net356,310.26
net679,310.2
_01672_,310.08
net832,308.49
net993,308.18
net708,307.9
net722,307.58
net126,306.52
net645,306.18
net418,305.74
net454,304.93
clknet_5_9__leaf_clk,304.38
_02051_,304.16
clknet_5_0__leaf_clk,303.73
net658,303.58
net121,303.56
net693,303.5
net426,303.3
net721,302.66
net210,302.19
net990,301.84
net406,301.31
net716,301.2
net719,300.36
net234,299.7
net667,299.62
net998,299.54
decoded_imm\[11\],299.02
decoded_imm\[25\],298.64
_03786_,298.4
net718,297.96
net777,297.6
net963,296.63
net680,295.34
clknet_5_6__leaf_clk,294.97
net1005,294.52
net725,294.05
net553,293.93
net780,292.99
net774,290.23
_00012_,289.87
net382,289.58
net753,289.56
clknet_5_5__leaf_clk,289.25
net557,287.52
net926,286.405
net891,286.4
_02809_,286.15
_05499_,285.635
net352,285.17
net755,285.15
_02703_,285.11
decoded_imm\[6\],285.05
net570,284.44
net797,284.015
net958,283.95
_01759_,283.4
_01552_,283.32
_03380_,283.06
net668,282.655
net781,282.58
net1082,282.57
net600,282.455
net760,282.24
net116,282.14
net1093,281.87
net388,281.72
net589,280.8
net472,280.14
net709,280.11
net920,279.92
net1004,279.45
decoded_imm\[31\],278.68
net807,278.51
net226,278.48
_02757_,278.19
decoded_imm\[7\],278.14
net1015,276.96
reg_pc\[14\],276.81
net779,276.775
_04834_,276.615
net677,276.31
net786,276.235
_02829_,275.65
net470,275.5
net613,274.77
net436,274.48
clknet_5_21__leaf_clk,274.18
net772,274.11
_00011_,273.94
net552,273.78
clknet_5_15__leaf_clk,273.71
net712,273.62
decoded_imm\[16\],273.57
net609,273.28
clknet_5_31__leaf_clk,273.02
net678,272.42
net783,272.22
net1029,271.485
net962,271.315
net720,270.78
net171,270.14
net758,270
net638,269.7
net446,269.57
net394,268.92
_01586_,268.31
net1019,268.28
net360,268.19
net518,268.19
net384,268.09
decoded_imm\[13\],267.28
net939,267.28
net701,267.02
net666,266.78
net734,266.42
net681,265.12
_01743_,263.02
net338,262.84
net724,262.475
net710,261.73
net396,261.655
clknet_5_3__leaf_clk,261.42
net991,261.2
net704,261.15
decoded_imm\[12\],259.66
_02833_,258.34
net1098,257.24
_02753_,257.18
clknet_5_18__leaf_clk,257
net501,256.855
net372,256.84
_01656_,256.02
net174,255.3
net840,255.2
net1003,254.755
net376,254.465
net185,254.44
net1001,253.28
reg_pc\[17\],253.16
net825,252.73
_02866_,252.72
net687,252.43
_02738_,252.3
net664,252.01
net1096,251.965
net633,251.42
_01568_,251.24
net865,250.8
net366,250.38
net235,249.66
clknet_5_7__leaf_clk,249.39
net342,248.34
net1022,247.36
net392,247.1
net448,247.09
net717,246.765
clknet_5_10__leaf_clk,246.24
net400,246
_02741_,245.52
reg_pc\[20\],245.48
net787,245.46
reg_pc\[15\],244.82
net207,244.4
net100,244.34
net1063,244.18
net711,243.38
_02683_,243.04
net953,243.03
net1070,242.66
net364,242.295
_02026_,242.2
clknet_5_20__leaf_clk,241.98
net908,241.84
decoded_imm\[23\],241.355
clknet_5_2__leaf_clk,241.34
net1038,241.28
net999,240.4
net1090,239.74
clknet_5_1__leaf_clk,239.57
net412,239.45
net791,238.74
net200,238.29
_02726_,238.16
net951,237.62
net368,236.45
net1053,235.72
net477,235.14
net699,234.65
net835,234.52
reg_pc\[29\],234.44
net767,233.98
_03773_,233.58
net1023,233.5
net172,232.66
net788,232.56
decoded_imm\[8\],232.55
net1010,232.5
net657,232.46
net186,232.45
net567,232.2
net805,231.67
net1036,231.63
net460,231.14
net976,230.28
_02067_,230.06
clknet_5_27__leaf_clk,229.72
net476,229.47
clknet_5_25__leaf_clk,229.36
clknet_5_13__leaf_clk,229.28
net706,229.16
net637,228.9
net790,228.88
net802,228.46
_01701_,227.94
net302,227.93
net1031,227.06
net508,226.79
instr_jal,226
_02770_,225.71
net844,225.6
clknet_5_17__leaf_clk,225.46
reg_pc\[1\],225.19
net996,224.98
net853,224.53
_02745_,224.38
_02721_,223.86
reg_pc\[18\],223.405
is_slli_srli_srai,223.3
net854,223.18
net1066,222.79
reg_pc\[21\],222.475
net1013,222.29
net1021,221.69
reg_pc\[16\],220.92
net1086,220.91
clknet_5_12__leaf_clk,220.83
_01590_,220.24
net1018,219.88
net555,219.76
net961,219.76
net995,219.22
net606,218.96
net793,218.9
net729,218.82
decoded_imm_j\[15\],218.4
net785,218.37
net811,218.14
clknet_5_29__leaf_clk,217.8
net869,217.79
net1048,217.33
net806,216.94
clknet_5_8__leaf_clk,216.63
_03722_,216.52
_02787_,216.16
net572,216.03
net861,215.975
net762,215.73
net378,215.69
net850,215.21
net627,215.14
_01991_,214.38
net1033,214.27
net1007,214.18
_02819_,214.02
reg_pc\[28\],213.67
net1008,213.42
net831,213.2
net685,213.16
net199,213.1
net1030,212.92
net859,212.31
_02676_,211.74
decoded_imm\[26\],211.355
net565,210.055
_01595_,210.03
net889,209.83
_01950_,209.46
net799,209.35
net823,209.25
net134,209.12
decoded_imm\[24\],208.79
clknet_5_19__leaf_clk,208.52
net635,208.35
reg_pc\[2\],208.2
net796,208.1
net592,207.99
_02831_,207.57
clknet_5_24__leaf_clk,207.19
net596,207.05
net843,207.02
net1009,206.84
net838,206.4
_02687_,206.2
net1012,205.94
net822,205.82
net814,205.72
net340,205.64
net175,205.47
net1034,205.24
net742,204.9
_01939_,204.38
net414,204.14
net1025,203.84
net626,203.7
net344,203.62
net1092,203.58
mem_do_rinst,203.16
decoded_imm_j\[11\],203
_02573_,202.97
net997,202.22
clknet_5_11__leaf_clk,202.22
mem_rdata_q\[12\],201.515
_02002_,201.25
net829,201.18
net623,201.03
net1068,200.69
net1099,200.62
net877,200.355
net776,200.34
net1079,199.97
reg_pc\[12\],199.73
decoded_imm\[22\],199.47
_02557_,199.26
net1037,199.16
_01715_,199.14
net808,199.12
net1083,199.1
net438,199
net540,198.87
net1020,198.6
net855,197.89
_02995_,197.72
clknet_5_28__leaf_clk,197.52
net96,197.42
_01874_,197.4
net848,197.36
_01683_,196.71
_01783_,196.69
net354,196.625
_02015_,196.59
net624,196.52
cpu_state\[3\],196.14
net177,196.14
mem_do_rdata,195.96
latched_stalu,195.89
net1073,195.52
net542,195.17
net804,194.76
net585,194.74
net971,193.96
net517,193.84
net610,193.72
reg_pc\[9\],193.24
_02216_,193.05
net881,193.04
_02796_,192.99
net672,192.66
net751,192.54
net992,192.07
net845,191.94
alu_out_q\[22\],191.92
net1074,191.71
net815,191.36
net541,191.12
net819,190.86
net890,190.83
net888,190.4
net885,190.36
net803,190.315
net1028,190.24
_01899_,189.96
_05449_,189.615
_01787_,189.48
net743,189.35
_03709_,189.26
net847,189.12
net500,189.08
net756,189.08
net1085,188.51
clknet_5_26__leaf_clk,188.51
net499,188.16
net1052,187.995
net190,187.98
_04946_,187.82
_02806_,187.48
net548,187.48
net1024,187.22
net66,187.12
net852,186.89
_01617_,186.57
net1080,186.57
_01964_,186.48
decoded_imm\[28\],185.8
_02048_,185.42
net821,185.21
is_sb_sh_sw,185.03
net1081,184.59
net150,184.5
net841,184.35
net1054,184.23
net771,184.2
net740,184
net514,183.64
net801,183.57
clknet_5_23__leaf_clk,183.37
_01597_,183.21
net203,182.78
mem_do_wdata,182.44
_05476_,182.37
net1041,182.215
instr_srl,181.64
net1064,181.44
net826,180.95
net895,180.5
_03028_,180.34
net830,180.34
net1103,180.33
_02717_,180.19
net1014,180.08
net857,179.845
net1050,179.52
net1069,178.85
net350,178.46
_01912_,178.42
net595,178.04
net875,177.805
net1011,177.78
net1044,177.5
net798,177.24
net733,177.07
net634,176.92
net818,176.82
_01924_,176.72
net515,176.23
net474,175.72
mem_rdata_q\[13\],175.58
instr_srli,174.92
net434,174.62
_04238_,174.6
net873,174.355
_03585_,174.06
_05385_,173.98
_02697_,173.96
_01896_,173.725
net576,173.64
net886,172.75
net836,172.68
net178,172.57
net778,172.39
net598,172.235
_01807_,172.23
clknet_5_16__leaf_clk,172.07
net698,172.04
_03467_,171.64
net1072,171.6
net641,171.575
net812,171.37
net631,170.605
net603,170.48
_04542_,170.285
net579,170.26
net858,170.23
_04581_,170.2
net1040,170.195
net1043,170.17
decoded_imm\[4\],170.06
alu_out_q\[3\],169
net625,168.91
net813,168.8
net575,168.72
net892,168.64
clknet_5_22__leaf_clk,168.61
net897,168.26
net912,167.9
decoded_imm\[29\],167.64
net1051,167.62
net550,167.5
_01616_,167.28
net549,167.2
net605,167.14
_01588_,166.86
_01663_,166.695
net276,166.02
net862,165.89
net593,165.76
net617,164.46
net833,164.44
net510,164.4
net876,164.28
net1061,164.1
_03041_,163.22
_03163_,162.55
reg_pc\[23\],162.45
net639,161.58
_02735_,161.46
net1076,161.435
net599,161.3
_04217_,161.29
net232,161.22
net1088,161.02
net872,160.975
net731,160.66
_02705_,160.5
net816,160.44
net311,160.225
reg_pc\[22\],160.14
net1104,160.13
_02748_,160
net323,159.76
_05443_,159.48
net882,159.375
net591,158.9
net594,158.78
cpu_state\[4\],158.64
net512,158.3
net874,158.18
net1062,158.07
net507,157.9
net947,157.7
_01877_,157.42
_01105_,157.115
net569,156.825
is_beq_bne_blt_bge_bltu_bgeu,156.72
net563,156.56
_02996_,155.855
net1042,155.34
net520,155.275
net590,155.08
alu_out_q\[30\],155.06
net935,155.03
_03192_,154.75
net1035,154.59
net1026,154.54
_01618_,154.2
net562,154.165
net1032,154.04
net604,153.92
decoded_imm_j\[4\],153.58
reg_pc\[10\],153.42
net1055,153.04
alu_out_q\[25\],152.54
net643,152.5
alu_out_q\[5\],151.59
_04226_,151.56
net1109,151.48
_01621_,150.68
_01104_,150.635
reg_pc\[24\],150.6
reg_next_pc\[4\],150.59
net621,149.98
net849,149.67
net1059,149.64
net312,149.21
_02686_,149.15
net789,149.1
net1045,149.085
_01677_,148.96
net1071,148.96
