net,length_um
reg_pc\[11\],73.86
_01690_,73.82
clknet_leaf_215_clk,73.78
net619,73.63
_03541_,73.58
_02951_,73.42
clknet_leaf_139_clk,73.2
clknet_leaf_72_clk,72.86
clknet_leaf_84_clk,72.68
clknet_leaf_48_clk,72.655
_03366_,72.62
_05406_,72.565
decoded_imm_j\[17\],72.465
_03539_,72.28
_01860_,72.24
net167,72.04
clknet_leaf_92_clk,71.98
_02754_,71.915
net316,71.78
net732,71.505
clknet_leaf_135_clk,70.98
clknet_leaf_37_clk,70.785
clknet_leaf_3_clk,70.78
clknet_leaf_93_clk,70.725
count_instr\[14\],70.64
_02685_,70.62
_04489_,70.54
_03570_,70.36
_03962_,70.22
_02206_,70
_04708_,69.9
clknet_leaf_71_clk,69.88
_02776_,69.84
net208,69.48
clknet_leaf_76_clk,69.19
_02731_,68.84
_05226_,68.7
_04069_,68.4
_02899_,68.32
clknet_leaf_164_clk,68.28
_02729_,67.98
_01909_,67.9
clknet_leaf_111_clk,67.82
net129,67.56
net561,67.33
net1058,67.32
_04047_,67.29
clknet_leaf_186_clk,67.07
_02695_,67.025
clknet_leaf_26_clk,66.98
net267,66.9
clknet_leaf_81_clk,66.82
_04006_,66.81
_02862_,66.78
_04281_,66.74
net581,66.7
_03932_,66.52
clknet_leaf_196_clk,66.44
clknet_leaf_133_clk,66.38
net475,66.36
clknet_leaf_181_clk,66.295
_02736_,66.195
net334,65.98
clknet_leaf_131_clk,65.92
net792,65.82
latched_is_lb,65.8
_02801_,65.68
net578,65.66
net247,65.48
clknet_leaf_115_clk,65.18
_04072_,65.1
net485,64.98
clknet_leaf_14_clk,64.98
_01778_,64.88
clknet_leaf_136_clk,64.78
clknet_leaf_91_clk,64.72
clknet_leaf_31_clk,64.6
_03474_,64.56
_03975_,64.55
clknet_leaf_11_clk,64.54
clknet_leaf_95_clk,64.5
clknet_leaf_66_clk,64.48
_04486_,64.34
net206,64.34
_01756_,64.2
_04062_,64.17
_02816_,63.96
_02388_,63.94
clknet_leaf_201_clk,63.9
latched_rd\[4\],63.86
clknet_leaf_78_clk,63.85
latched_is_lh,63.76
clknet_leaf_141_clk,63.76
_04051_,63.66
clknet_leaf_137_clk,63.64
clknet_leaf_73_clk,63.6
_02345_,63.56
net1108,63.54
_02180_,63.44
_03650_,63.38
alu_out_q\[15\],63.3
_03903_,63.24
net192,63.2
instr_rdinstrh,63.05
net965,62.9
clknet_leaf_207_clk,62.855
_04988_,62.84
_02300_,62.7
_05393_,62.56
clknet_leaf_6_clk,62.54
net288,62.39
net258,62.32
clknet_leaf_109_clk,62.155
clknet_leaf_23_clk,62.1
net503,61.975
latched_rd\[2\],61.84
_03230_,61.8
net489,61.6
_04050_,61.56
clknet_leaf_210_clk,61.55
net275,61.54
_04414_,61.53
clknet_leaf_227_clk,61.5
cpu_state\[2\],61.48
net532,61.42
clknet_leaf_28_clk,61.42
_04043_,61.375
_02711_,61.25
_02481_,61.2
clknet_leaf_1_clk,61.12
clknet_leaf_122_clk,61.1
_02807_,60.87
_04046_,60.86
clknet_leaf_117_clk,60.78
clknet_leaf_195_clk,60.56
clknet_leaf_32_clk,60.42
net487,60.4
clknet_leaf_104_clk,60.02
_02431_,59.92
_01754_,59.9
_04055_,59.89
clknet_leaf_101_clk,59.82
clknet_leaf_148_clk,59.8
_04960_,59.42
_04134_,59.36
_04059_,59.25
_04177_,59.24
clknet_leaf_49_clk,59.22
_01691_,59.2
latched_rd\[3\],59.14
_03899_,59.12
clknet_leaf_209_clk,59.04
_03986_,58.91
clknet_leaf_10_clk,58.82
clknet_leaf_193_clk,58.82
clknet_leaf_74_clk,58.78
mem_wordsize\[0\],58.76
clknet_leaf_206_clk,58.76
_01602_,58.735
_04378_,58.7
clknet_leaf_123_clk,58.66
clknet_leaf_19_clk,58.6
_01675_,58.535
_01949_,58.52
clknet_leaf_132_clk,58.36
net41,58.28
clknet_leaf_125_clk,58.12
_01805_,58.06
_04286_,57.98
_02187_,57.94
_02750_,57.94
clknet_leaf_108_clk,57.9
instr_sw,57.86
_02100_,57.84
clknet_leaf_51_clk,57.84
_04448_,57.745
clknet_leaf_230_clk,57.56
clknet_leaf_177_clk,57.46
_03266_,57.4
_04455_,57.38
net293,57.32
clknet_leaf_87_clk,57.32
mem_rdata_q\[21\],57.3
clknet_leaf_171_clk,57.21
reg_out\[24\],57.2
_04064_,57.17
_02374_,57.16
_04076_,56.98
_03674_,56.94
_03897_,56.76
net229,56.74
clknet_leaf_56_clk,56.68
decoded_imm_j\[12\],56.675
alu_out_q\[17\],56.46
_01572_,56.44
_01820_,56.44
clknet_leaf_86_clk,56.22
_01871_,56.16
_01973_,56.14
_02647_,56.14
_01717_,56.1
instr_lw,56.1
clknet_leaf_124_clk,56.1
reg_next_pc\[25\],56.08
alu_out\[15\],56.06
_05549_,56.025
_01781_,56.02
_03451_,56
_02058_,55.98
count_instr\[12\],55.94
clknet_leaf_12_clk,55.92
clknet_leaf_0_clk,55.715
clknet_leaf_232_clk,55.7
_04487_,55.67
_03314_,55.66
clknet_leaf_25_clk,55.66
_02204_,55.64
decoded_imm_j\[9\],55.63
_04409_,55.51
_00015_,55.3
clknet_leaf_155_clk,55.1
_04876_,54.76
clknet_leaf_60_clk,54.7
_05486_,54.48
_03505_,54.46
_04090_,54.36
_01740_,54.26
_04904_,54.26
_03793_,54.18
count_cycle\[58\],54.16
clknet_leaf_180_clk,54.14
_04068_,54.11
reg_out\[17\],54.04
clknet_leaf_153_clk,54.04
clknet_leaf_22_clk,53.74
clknet_leaf_159_clk,53.74
count_cycle\[43\],53.68
_02674_,53.56
_04446_,53.52
_05418_,53.4
_04049_,53.3
net260,53.3
_01854_,53.28
_02438_,52.995
alu_out_q\[11\],52.88
clknet_leaf_167_clk,52.84
_04464_,52.76
_05316_,52.74
_01933_,52.72
_05338_,52.7
clknet_leaf_34_clk,52.58
_04174_,52.47
_03887_,52.465
_04011_,52.44
_04454_,52.14
_04610_,52.12
_03259_,52.08
clknet_leaf_53_clk,52.08
_03787_,52.04
clknet_leaf_213_clk,51.84
_01731_,51.68
clknet_leaf_5_clk,51.52
clknet_leaf_118_clk,51.52
_05086_,51.48
_03994_,51.4
_01873_,51.38
clknet_leaf_33_clk,51.32
_01859_,51.1
_04764_,51.08
net497,51.08
clknet_leaf_61_clk,51.03
net262,50.84
_04023_,50.74
net1221,50.74
_04536_,50.68
clknet_leaf_197_clk,50.46
_01779_,50.42
_02649_,50.32
_03569_,50.16
clknet_leaf_149_clk,50.06
_05383_,49.86
_05407_,49.86
_04467_,49.66
_03229_,49.64
_04481_,49.58
_05484_,49.54
clknet_leaf_128_clk,49.44
decoder_trigger,49.4
clknet_leaf_212_clk,49.36
clknet_leaf_27_clk,49.32
clknet_leaf_36_clk,49.28
clknet_leaf_228_clk,49.12
_04427_,49.08
reg_next_pc\[21\],49.06
_02091_,49.02
_04061_,49.02
clknet_leaf_65_clk,48.94
net498,48.655
_04516_,48.08
_03902_,48.06
_01822_,48.04
_02856_,48.02
_01751_,47.88
count_cycle\[31\],47.86
clknet_leaf_145_clk,47.86
_03948_,47.78
_04384_,47.69
_04337_,47.68
clknet_leaf_9_clk,47.68
clknet_leaf_55_clk,47.44
_02825_,47.36
_05212_,47.36
instr_lh,47.28
_01923_,47.16
clknet_leaf_199_clk,47
_04624_,46.985
_02480_,46.98
net526,46.82
count_cycle\[17\],46.76
count_instr\[10\],46.74
_02391_,46.66
decoded_imm_j\[14\],46.59
is_alu_reg_imm,46.52
clknet_leaf_231_clk,46.4
_04680_,46.38
_03772_,46.34
clknet_leaf_98_clk,46.32
_04522_,46.3
alu_out\[12\],46.285
_04045_,46.21
_01633_,46.16
count_cycle\[52\],46.08
net297,46.02
latched_rd\[0\],45.96
_04918_,45.92
_05477_,45.84
count_cycle\[36\],45.82
_05538_,45.7
_02914_,45.44
_02442_,45.36
_03708_,45.3
_02147_,45.28
clknet_leaf_59_clk,45.28
clknet_leaf_130_clk,45.24
_05128_,45.12
_02375_,45.1
_04066_,45.05
reg_out\[27\],45
reg_out\[19\],44.92
net245,44.9
count_cycle\[14\],44.88
_04150_,44.82
_04462_,44.79
_05423_,44.62
clknet_leaf_88_clk,44.56
_04255_,44.52
_02780_,44.48
_04435_,44.46
_05016_,44.44
mem_state\[1\],44.44
count_cycle\[60\],44.37
_04932_,44.36
_03280_,44.22
_04736_,44.22
count_cycle\[29\],44.19
_02755_,44.185
_01644_,44.1
_02727_,44.1
count_cycle\[0\],44.06
_01818_,44.04
_01845_,43.89
count_instr\[44\],43.86
_03450_,43.7
clknet_leaf_187_clk,43.68
_02439_,43.66
count_cycle\[13\],43.565
_04086_,43.52
_02040_,43.42
clknet_leaf_63_clk,43.42
_01963_,43.4
_03672_,43.4
_05254_,43.34
net249,43.28
net967,43.24
clknet_leaf_102_clk,43.16
decoded_imm_j\[7\],43.1
_01703_,43.08
_05364_,42.98
_05570_,42.955
count_instr\[21\],42.92
count_instr\[57\],42.84
_03199_,42.72
_03393_,42.68
_02767_,42.64
alu_out\[9\],42.625
_04437_,42.54
_01729_,42.46
_04811_,42.46
_02715_,42.245
_03917_,42.18
_03142_,41.9
decoded_imm_j\[13\],41.85
alu_out_q\[24\],41.84
_05156_,41.74
_01794_,41.7
cpu_state\[5\],41.69
_04082_,41.68
net483,41.66
_02124_,41.6
_01706_,41.56
_03602_,41.46
_05010_,41.34
count_cycle\[21\],41.14
_01870_,41.08
_02797_,41.08
_01599_,41.07
_05440_,40.9
instr_bgeu,40.9
cpuregs\[4\]\[0\],40.8
clknet_leaf_47_clk,40.78
clknet_leaf_198_clk,40.65
decoded_imm_j\[5\],40.595
_04477_,40.5
_02511_,40.46
clknet_leaf_24_clk,40.32
net750,40.3
alu_out_q\[16\],40.28
_01096_,40.185
_03682_,40.02
_04862_,40.02
net166,40
count_cycle\[34\],39.92
_03597_,39.9
clknet_leaf_146_clk,39.88
_05044_,39.8
clknet_leaf_218_clk,39.74
clknet_leaf_191_clk,39.72
clknet_leaf_174_clk,39.62
_03911_,39.54
_01613_,39.415
_04396_,39.41
_03582_,39.4
_04842_,39.4
_01844_,39.24
count_cycle\[25\],39.24
latched_rd\[1\],39.22
_02158_,39.1
_02577_,39.01
_04089_,38.9
_01585_,38.8
_02387_,38.78
cpuregs\[17\]\[29\],38.76
_05072_,38.72
_01823_,38.7
_04388_,38.68
_04161_,38.62
count_cycle\[8\],38.56
_02186_,38.5
count_instr\[34\],38.28
_04106_,38.275
_02334_,38.24
_04440_,38.2
_04058_,38.16
_02678_,38.12
_02768_,38
_01866_,37.98
_01886_,37.98
count_cycle\[51\],37.82
cpuregs\[21\]\[18\],37.82
_01937_,37.8
_03065_,37.8
_01855_,37.56
_04646_,37.38
_05545_,37.365
_03470_,37.22
clknet_leaf_157_clk,37.18
_02507_,36.98
_04065_,36.86
clknet_leaf_75_clk,36.82
_02622_,36.78
count_cycle\[59\],36.7
_02248_,36.66
net157,36.56
_03387_,36.54
_01098_,36.525
_04664_,36.5
_02153_,36.48
_02732_,36.44
count_instr\[60\],36.365
instr_lui,36.32
_05071_,36.26
_05559_,36.205
_02398_,35.94
count_cycle\[33\],35.76
is_lb_lh_lw_lbu_lhu,35.68
alu_out_q\[18\],35.6
cpuregs\[0\]\[0\],35.5
_01636_,35.415
_04408_,35.4
_04421_,35.36
count_cycle\[40\],35.3
_03033_,35.28
clknet_leaf_226_clk,35.28
_04594_,35.26
count_cycle\[35\],35.16
_05323_,35.14
_01894_,35.08
count_cycle\[50\],35.08
cpuregs\[21\]\[16\],35
count_cycle\[37\],34.96
_03604_,34.94
cpuregs\[4\]\[5\],34.91
_05100_,34.82
_01606_,34.78
_03425_,34.76
instr_bge,34.66
net495,34.56
cpuregs\[4\]\[29\],34.54
_03322_,34.5
clknet_leaf_185_clk,34.5
_02543_,34.46
count_cycle\[10\],34.46
_01910_,34.36
cpuregs\[5\]\[24\],34.32
_03437_,34.3
cpuregs\[12\]\[3\],34.3
count_cycle\[32\],34.2
cpuregs\[9\]\[2\],33.94
cpuregs\[20\]\[24\],33.86
count_instr\[11\],33.84
clknet_leaf_225_clk,33.82
_04054_,33.8
_02522_,33.78
count_instr\[2\],33.74
cpuregs\[16\]\[10\],33.72
_04417_,33.7
_02129_,33.62
cpuregs\[25\]\[28\],33.58
_04209_,33.57
count_instr\[16\],33.54
clknet_leaf_229_clk,33.5
reg_out\[26\],33.42
cpuregs\[29\]\[14\],33.41
cpuregs\[0\]\[27\],33.4
cpuregs\[5\]\[2\],33.4
_03001_,33.37
_05548_,33.325
_03980_,33.3
_04398_,33.24
_04102_,33.22
_02145_,33.16
_03042_,33.16
_03191_,33.1
cpuregs\[13\]\[22\],33.1
count_cycle\[16\],33.04
_03649_,32.98
instr_fence,32.98
_01099_,32.965
_05114_,32.92
_03027_,32.88
_04428_,32.88
cpuregs\[28\]\[26\],32.84
count_cycle\[42\],32.8
cpuregs\[0\]\[25\],32.68
_04959_,32.62
net494,32.6
cpuregs\[13\]\[17\],32.56
_02830_,32.5
net1157,32.45
mem_state\[0\],32.39
cpuregs\[0\]\[2\],32.38
_02221_,32.28
_03301_,32.28
cpuregs\[5\]\[4\],32.26
net40,32.26
mem_rdata_q\[17\],32.255
_05451_,32.24
mem_rdata_q\[23\],32.24
_04499_,32.14
clknet_leaf_50_clk,32.12
_05417_,32.095
_02214_,32.02
_03459_,32.02
_02559_,31.96
cpuregs\[13\]\[21\],31.92
_02523_,31.81
count_cycle\[22\],31.74
_03124_,31.7
_03210_,31.6
count_instr\[8\],31.56
count_cycle\[47\],31.52
_02099_,31.5
_03335_,31.5
instr_lb,31.44
_02299_,31.42
_03721_,31.42
_05401_,31.42
cpuregs\[9\]\[22\],31.38
net2326,31.38
cpuregs\[15\]\[24\],31.34
_04980_,31.3
reg_pc\[30\],31.24
_02151_,31.21
cpuregs\[17\]\[4\],31.175
_03999_,31.14
cpuregs\[13\]\[3\],31.1
decoded_imm_j\[6\],31.07
_05547_,31.065
count_cycle\[61\],31.02
instr_sh,31.01
clknet_leaf_183_clk,31
cpuregs\[5\]\[12\],30.98
_01625_,30.96
_03397_,30.96
count_instr\[47\],30.96
_02112_,30.94
_03532_,30.94
cpuregs\[20\]\[4\],30.92
clknet_leaf_152_clk,30.9
cpuregs\[21\]\[8\],30.86
_02613_,30.82
_04473_,30.8
cpuregs\[16\]\[8\],30.72
_03258_,30.7
_02771_,30.66
_04016_,30.66
_02897_,30.54
_03807_,30.5
_02957_,30.48
cpuregs\[20\]\[20\],30.48
cpuregs\[28\]\[14\],30.48
cpuregs\[29\]\[12\],30.46
clknet_leaf_99_clk,30.46
count_instr\[15\],30.4
_04168_,30.37
_01611_,30.36
cpuregs\[6\]\[22\],30.305
cpuregs\[20\]\[16\],30.3
cpuregs\[24\]\[21\],30.24
_04056_,30.16
count_instr\[4\],30.14
instr_srai,30.14
cpuregs\[20\]\[0\],30.12
_03400_,30.1
_03741_,30.1
_05324_,30.1
_01632_,30.06
_05555_,30.045
_04776_,30.02
count_instr\[18\],30
_00014_,29.98
_01554_,29.98
reg_next_pc\[26\],29.98
cpuregs\[18\]\[19\],29.97
alu_out\[16\],29.945
cpuregs\[4\]\[11\],29.94
_02164_,29.88
cpuregs\[16\]\[6\],29.86
_01769_,29.84
_02440_,29.84
cpuregs\[9\]\[29\],29.83
cpuregs\[16\]\[28\],29.76
count_instr\[38\],29.74
_03418_,29.7
_02470_,29.68
_04132_,29.66
_05178_,29.64
_03177_,29.6
_04423_,29.6
_03607_,29.58
_00003_,29.565
_02875_,29.56
_03316_,29.54
_05392_,29.52
cpuregs\[20\]\[8\],29.5
_02133_,29.48
_02793_,29.48
net1224,29.425
_04758_,29.42
_04886_,29.42
_03504_,29.4
cpuregs\[16\]\[4\],29.38
_01107_,29.36
count_cycle\[15\],29.36
cpuregs\[0\]\[23\],29.36
count_cycle\[38\],29.35
_02828_,29.34
cpuregs\[0\]\[12\],29.34
_01620_,29.32
cpuregs\[21\]\[22\],29.26
_03736_,29.24
_03135_,29.22
count_instr\[51\],29.19
_04135_,29.12
count_cycle\[5\],29.08
cpuregs\[29\]\[4\],29.08
_02565_,29.06
_02919_,29.06
_04786_,28.94
cpuregs\[25\]\[27\],28.94
cpuregs\[10\]\[27\],28.93
count_instr\[35\],28.92
cpuregs\[8\]\[18\],28.88
_02046_,28.86
cpuregs\[0\]\[13\],28.86
cpuregs\[4\]\[10\],28.8
cpuregs\[9\]\[8\],28.78
_01942_,28.76
_02896_,28.76
_04777_,28.76
instr_blt,28.76
_03261_,28.74
_03402_,28.74
_01898_,28.72
_02811_,28.7
cpuregs\[28\]\[22\],28.66
cpuregs\[24\]\[17\],28.64
cpuregs\[0\]\[1\],28.63
instr_slt,28.62
reg_sh\[2\],28.54
cpuregs\[9\]\[28\],28.52
_01615_,28.48
_04316_,28.48
_02347_,28.44
cpuregs\[0\]\[11\],28.44
_03935_,28.435
cpuregs\[25\]\[12\],28.43
_01881_,28.415
_03660_,28.4
_05280_,28.4
cpuregs\[20\]\[1\],28.4
cpuregs\[22\]\[8\],28.325
_04033_,28.32
_03045_,28.28
cpuregs\[17\]\[8\],28.28
cpuregs\[20\]\[18\],28.26
cpuregs\[29\]\[30\],28.2
_03606_,28.18
_04073_,28.16
cpuregs\[21\]\[24\],28.16
cpuregs\[20\]\[5\],28.15
cpuregs\[25\]\[5\],28.12
_05283_,28.1
_03242_,28.08
_05240_,28.08
count_instr\[17\],28.08
_04321_,28.06
_01106_,28.045
_02824_,28.04
instr_sltiu,28.04
_02701_,27.9
cpuregs\[5\]\[22\],27.9
_02004_,27.89
cpuregs\[12\]\[17\],27.88
net925,27.88
cpuregs\[9\]\[15\],27.86
_05281_,27.84
_02913_,27.8
_03398_,27.78
cpuregs\[2\]\[29\],27.77
cpuregs\[20\]\[23\],27.74
_03300_,27.72
instr_and,27.72
cpuregs\[29\]\[20\],27.7
cpuregs\[5\]\[11\],27.7
_03743_,27.68
cpuregs\[5\]\[27\],27.66
cpuregs\[8\]\[26\],27.66
cpuregs\[1\]\[22\],27.62
instr_slti,27.62
_05390_,27.58
count_instr\[0\],27.58
cpuregs\[9\]\[9\],27.58
_05092_,27.52
cpuregs\[15\]\[3\],27.5
cpuregs\[24\]\[11\],27.48
cpuregs\[4\]\[9\],27.48
mem_rdata_q\[0\],27.48
_05084_,27.46
count_cycle\[26\],27.46
count_cycle\[7\],27.46
count_instr\[43\],27.46
cpuregs\[16\]\[27\],27.46
cpuregs\[11\]\[20\],27.44
_00013_,27.42
cpuregs\[17\]\[15\],27.42
_02060_,27.4
_04404_,27.34
_01650_,27.32
cpuregs\[16\]\[31\],27.3
cpuregs\[1\]\[25\],27.3
cpuregs\[24\]\[7\],27.3
cpuregs\[1\]\[3\],27.26
cpuregs\[19\]\[25\],27.24
cpuregs\[28\]\[2\],27.24
cpuregs\[8\]\[10\],27.24
cpuregs\[8\]\[6\],27.24
_03535_,27.18
cpuregs\[28\]\[10\],27.18
count_cycle\[55\],27.1
_02406_,27.09
count_instr\[24\],27.08
instr_sll,27.08
clknet_leaf_97_clk,27.08
cpuregs\[14\]\[16\],27.065
cpuregs\[24\]\[6\],27.04
_03069_,27.02
_04098_,27.02
cpuregs\[21\]\[30\],26.96
cpuregs\[1\]\[2\],26.94
cpuregs\[27\]\[14\],26.94
cpuregs\[26\]\[13\],26.915
_04146_,26.9
_04578_,26.9
count_cycle\[28\],26.9
_02396_,26.86
cpuregs\[16\]\[21\],26.84
cpuregs\[27\]\[15\],26.84
cpuregs\[4\]\[4\],26.84
_02817_,26.76
instr_xor,26.76
cpuregs\[6\]\[13\],26.725
cpuregs\[21\]\[4\],26.72
cpuregs\[9\]\[26\],26.72
_02098_,26.7
cpuregs\[16\]\[25\],26.7
cpuregs\[9\]\[17\],26.7
count_instr\[41\],26.68
count_cycle\[39\],26.675
_03928_,26.66
count_instr\[5\],26.62
_03542_,26.6
_05552_,26.585
_01989_,26.565
cpuregs\[16\]\[17\],26.56
cpuregs\[1\]\[0\],26.54
count_instr\[13\],26.53
cpuregs\[17\]\[13\],26.52
cpuregs\[5\]\[14\],26.52
cpuregs\[9\]\[13\],26.5
cpuregs\[16\]\[9\],26.48
count_cycle\[46\],26.46
cpuregs\[5\]\[26\],26.46
count_cycle\[11\],26.44
cpuregs\[16\]\[0\],26.44
cpuregs\[28\]\[4\],26.42
mem_rdata_q\[24\],26.42
count_instr\[45\],26.415
cpuregs\[24\]\[28\],26.4
cpuregs\[28\]\[20\],26.4
cpuregs\[18\]\[25\],26.395
_05184_,26.38
cpuregs\[9\]\[31\],26.38
cpuregs\[22\]\[4\],26.35
cpuregs\[7\]\[22\],26.34
_03465_,26.3
cpuregs\[17\]\[28\],26.28
_04171_,26.25
cpuregs\[10\]\[20\],26.25
_04144_,26.24
decoded_imm_j\[8\],26.16
reg_next_pc\[10\],26.16
cpuregs\[12\]\[2\],26.14
cpuregs\[9\]\[1\],26.12
cpuregs\[14\]\[24\],26.115
_02113_,26.1
_02843_,26.1
_04580_,26.1
cpuregs\[5\]\[23\],26.1
_01747_,26.06
_01867_,26.05
cpuregs\[4\]\[15\],26.04
_04044_,25.98
cpuregs\[15\]\[17\],25.98
_03485_,25.96
cpuregs\[9\]\[7\],25.96
cpuregs\[13\]\[1\],25.955
_01831_,25.94
_02821_,25.92
_05001_,25.9
cpuregs\[13\]\[11\],25.89
count_cycle\[30\],25.88
count_instr\[6\],25.84
cpuregs\[24\]\[13\],25.84
cpuregs\[18\]\[7\],25.835
cpuregs\[13\]\[14\],25.82
count_instr\[36\],25.81
cpuregs\[29\]\[22\],25.81
_01555_,25.8
_01634_,25.8
_04315_,25.8
_05115_,25.8
cpuregs\[24\]\[2\],25.78
cpuregs\[8\]\[0\],25.77
_02633_,25.76
cpuregs\[12\]\[11\],25.76
_02274_,25.74
clknet_leaf_100_clk,25.72
cpuregs\[12\]\[1\],25.715
_03547_,25.68
cpuregs\[12\]\[20\],25.68
_03276_,25.675
_05252_,25.64
cpuregs\[12\]\[10\],25.62
net1602,25.62
_01835_,25.6
_05112_,25.6
cpuregs\[29\]\[24\],25.6
cpuregs\[24\]\[18\],25.56
reg_next_pc\[28\],25.56
_03378_,25.52
_05497_,25.52
cpuregs\[19\]\[18\],25.5
cpuregs\[9\]\[18\],25.5
clknet_leaf_57_clk,25.5
_02022_,25.48
cpuregs\[26\]\[18\],25.475
cpuregs\[8\]\[22\],25.46
count_cycle\[48\],25.455
cpuregs\[14\]\[10\],25.445
cpuregs\[20\]\[22\],25.44
cpuregs\[27\]\[13\],25.44
_05412_,25.43
_03799_,25.4
cpuregs\[28\]\[12\],25.4
_01861_,25.38
cpuregs\[5\]\[31\],25.38
cpuregs\[9\]\[14\],25.38
cpuregs\[18\]\[26\],25.37
cpuregs\[13\]\[8\],25.34
_01967_,25.32
cpuregs\[28\]\[30\],25.32
cpuregs\[9\]\[23\],25.32
_01635_,25.3
cpuregs\[27\]\[0\],25.28
instr_xori,25.28
cpuregs\[20\]\[2\],25.25
cpuregs\[9\]\[10\],25.24
cpuregs\[14\]\[19\],25.185
_02436_,25.16
_03785_,25.16
_04305_,25.14
mem_rdata_q\[2\],25.14
clknet_leaf_178_clk,25.14
_01115_,25.115
cpuregs\[9\]\[19\],25.1
_01557_,25.08
cpuregs\[18\]\[24\],25.07
count_instr\[28\],25.06
cpuregs\[17\]\[11\],25.06
cpuregs\[2\]\[26\],25.025
_04924_,25.02
cpuregs\[6\]\[30\],25.01
_02277_,25
_01848_,24.98
count_cycle\[4\],24.98
count_instr\[54\],24.98
cpuregs\[16\]\[24\],24.98
cpuregs\[4\]\[18\],24.98
cpuregs\[26\]\[31\],24.975
cpuregs\[22\]\[14\],24.97
cpuregs\[17\]\[17\],24.96
cpuregs\[24\]\[27\],24.96
cpuregs\[0\]\[5\],24.94
_05231_,24.9
cpuregs\[30\]\[19\],24.9
cpuregs\[18\]\[21\],24.89
cpuregs\[16\]\[18\],24.88
cpuregs\[28\]\[1\],24.84
_01108_,24.82
_03730_,24.82
cpuregs\[17\]\[12\],24.82
cpuregs\[4\]\[28\],24.82
cpuregs\[14\]\[28\],24.81
_03740_,24.8
_05386_,24.8
cpuregs\[12\]\[12\],24.8
cpuregs\[4\]\[8\],24.8
_03289_,24.76
cpuregs\[20\]\[10\],24.76
_02572_,24.72
cpuregs\[21\]\[5\],24.72
cpuregs\[30\]\[8\],24.705
cpuregs\[24\]\[5\],24.7
_02256_,24.695
cpuregs\[30\]\[3\],24.68
cpuregs\[24\]\[30\],24.66
cpuregs\[5\]\[13\],24.64
_04261_,24.62
net959,24.62
_02763_,24.6
cpuregs\[28\]\[0\],24.58
cpuregs\[22\]\[1\],24.56
cpuregs\[1\]\[31\],24.54
_04402_,24.52
cpuregs\[15\]\[8\],24.52
cpuregs\[2\]\[27\],24.485
cpuregs\[17\]\[25\],24.48
_04615_,24.46
count_cycle\[27\],24.46
cpuregs\[0\]\[15\],24.46
cpuregs\[13\]\[18\],24.46
reg_out\[14\],24.46
cpuregs\[22\]\[2\],24.445
cpuregs\[12\]\[15\],24.44
_00952_,24.425
_04517_,24.38
cpuregs\[8\]\[30\],24.38
_01655_,24.36
_02621_,24.36
_04198_,24.36
_05267_,24.36
cpuregs\[19\]\[12\],24.36
_03328_,24.35
_03543_,24.32
instr_bltu,24.32
_05003_,24.3
cpuregs\[21\]\[26\],24.3
_01651_,24.26
_04319_,24.26
cpuregs\[16\]\[15\],24.26
_03885_,24.24
_05234_,24.24
_05493_,24.22
cpuregs\[26\]\[21\],24.215
_03617_,24.2
cpuregs\[24\]\[9\],24.2
cpuregs\[8\]\[16\],24.18
reg_next_pc\[22\],24.18
net170,24.18
cpuregs\[30\]\[22\],24.165
cpuregs\[8\]\[3\],24.16
_05066_,24.14
net1320,24.14
count_instr\[48\],24.12
cpuregs\[28\]\[23\],24.12
instr_sltu,24.08
_05382_,24.06
_01761_,24.04
_02548_,24.03
_03354_,24
net2268,24
cpuregs\[10\]\[12\],23.965
cpuregs\[29\]\[6\],23.94
cpuregs\[5\]\[1\],23.94
cpuregs\[9\]\[30\],23.94
_03865_,23.92
count_cycle\[9\],23.9
_01603_,23.88
cpuregs\[23\]\[2\],23.86
_02419_,23.84
_02664_,23.84
_03364_,23.84
_04611_,23.84
cpuregs\[14\]\[8\],23.825
cpuregs\[15\]\[28\],23.82
cpuregs\[17\]\[0\],23.815
alu_out\[31\],23.795
_04032_,23.78
cpuregs\[4\]\[1\],23.78
_03048_,23.76
cpuregs\[17\]\[30\],23.76
mem_rdata_q\[22\],23.76
count_cycle\[41\],23.72
cpuregs\[2\]\[3\],23.705
_01631_,23.7
_03333_,23.7
cpuregs\[5\]\[3\],23.7
_01952_,23.68
_01984_,23.68
cpuregs\[15\]\[23\],23.68
cpuregs\[3\]\[5\],23.68
_04042_,23.64
cpuregs\[1\]\[10\],23.64
cpuregs\[14\]\[23\],23.625
cpuregs\[7\]\[20\],23.62
cpuregs\[1\]\[14\],23.6
cpuregs\[31\]\[26\],23.6
cpuregs\[4\]\[21\],23.58
count_instr\[33\],23.54
cpuregs\[1\]\[5\],23.54
_04343_,23.52
cpuregs\[30\]\[29\],23.52
net1357,23.52
cpuregs\[8\]\[5\],23.5
cpuregs\[14\]\[17\],23.485
count_instr\[63\],23.48
cpuregs\[8\]\[17\],23.48
cpuregs\[9\]\[16\],23.48
_03689_,23.46
mem_rdata_q\[3\],23.46
_04413_,23.42
reg_sh\[3\],23.42
cpuregs\[13\]\[15\],23.36
cpuregs\[20\]\[12\],23.36
net2316,23.36
count_instr\[22\],23.32
net2023,23.3
_04868_,23.26
_04194_,23.22
_04827_,23.22
_05104_,23.22
cpuregs\[5\]\[8\],23.22
